Step,AUROC,Precision,Recall,F1 score,Random Seed
1276,0.31819545078614603,0.1228653803504103,0.5528942115768463,0.20105244057339866,42
1276,0.3182080084155542,0.1228653803504103,0.5528942115768463,0.20105244057339866,42
1277,0.3182080084155542,0.1228653803504103,0.5528942115768463,0.20105244057339866,42
1277,0.3182080084155542,0.1228653803504103,0.5528942115768463,0.20105244057339866,42
0,0.3129779422761575,0.12247726768684852,0.5511477045908184,0.20041734712393397,42
0,0.3129779422761575,0.12247726768684852,0.5511477045908184,0.20041734712393397,42
1277,0.125,0.16666666666666666,0.75,0.27272727272727276,42
1277,0.283259371164196,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
1277,0.283259371164196,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
1496,0.2835531216231811,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
14266,0.327959097865895,0.1249445553337769,0.562250499001996,0.20445472690981675,42
27036,0.3976152060392376,0.12488911066755379,0.5620009980039921,0.20436399927417895,42
28313,0.399154869838666,0.124875249500998,0.561938622754491,0.20434131736526945,42
28357,0.2748490157611109,0.16611295681063123,0.7490636704119851,0.27192386131883073,42
28423,0.2746531821217876,0.16611295681063123,0.7490636704119851,0.27192386131883073,42
