Step,AUROC,Precision,Recall,F1 score,Random Seed
1276,0.5,0.2,1.0,0.33333333333333337,42
14046,0.5,0.2,1.0,0.33333333333333337,42
12769,0.5,0.2,1.0,0.33333333333333337,10
16600,0.5,0.2,1.0,0.33333333333333337,42
17877,0.5,0.2,1.0,0.33333333333333337,42
19154,0.5,0.2,1.0,0.33333333333333337,42
20431,0.5,0.2,1.0,0.33333333333333337,42
1276,0.3193271786252221,0.2,1.0,0.33333333333333337,42
1276,0.3179101473403617,0.2,1.0,0.33333333333333337,42
1277,0.3179101473403617,0.2,1.0,0.33333333333333337,42
1277,0.3179101473403617,0.2,1.0,0.33333333333333337,42
0,0.27721970079458097,0.2,1.0,0.33333333333333337,42
0,0.27721970079458097,0.2,1.0,0.33333333333333337,42
1277,0.1484375,0.2,1.0,0.33333333333333337,42
1277,0.2432988176544026,0.19955156950672645,1.0,0.33271028037383177,42
1277,0.2432988176544026,0.19955156950672645,1.0,0.33271028037383177,42
1496,0.25348916095776636,0.19955156950672645,1.0,0.33271028037383177,42
14266,0.350408659041697,0.12335052117986249,0.5550773453093812,0.20184630738522957,42
27036,0.5210148808312144,0.1948325571080062,0.876746506986028,0.3188169116312829,42
28313,0.5300089817324558,0.19614936793080506,0.8826721556886228,0.320971692977681,42
28357,0.30006609385327165,0.1777408637873754,0.8014981273408239,0.2909585316111488,42
28423,0.30018149581930154,0.17857142857142858,0.8052434456928839,0.29231815091774305,42
