Step,AUROC,Precision,Recall,F1 score,Random Seed
20431,0.5,0.2,1.0,0.33333333333333337,42
1276,0.30566489850809236,0.12294854734974496,0.5532684630738522,0.20118853202685538,42
1276,0.3056380801077174,0.12294854734974496,0.5532684630738522,0.20118853202685538,42
1277,0.3056380801077174,0.12294854734974496,0.5532684630738522,0.20118853202685538,42
1277,0.3056380801077174,0.12294854734974496,0.5532684630738522,0.20118853202685538,42
0,0.3019122055407336,0.12280993568418719,0.5526447105788423,0.20096171293776083,42
0,0.3019122055407336,0.12280993568418719,0.5526447105788423,0.20096171293776083,42
1277,0.125,0.16666666666666666,0.75,0.27272727272727276,42
1277,0.2841755928338876,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
1277,0.2841755928338876,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
1496,0.2842560245071812,0.18272425249169436,0.8239700374531835,0.2991162474507138,42
14266,0.34715057841994407,0.12433466400532268,0.5595059880239521,0.20345672291780076,42
27036,0.417203590067557,0.1256653359946773,0.5654940119760479,0.20563418617310827,42
28313,0.4224546361680332,0.12638611665557772,0.5687375249500998,0.2068136454363999,42
28357,0.2784649440300465,0.17524916943521596,0.7902621722846442,0.28687967369136647,42
28423,0.2795979815147033,0.17524916943521596,0.7902621722846442,0.28687967369136647,42
